gamma,ER,Vol,Sharpe,Sortino,AdjSharpe,w_NVDA,w_LLY,w_EVGO,w_SPY,w_HYG
2.0,0.4631204500541861,0.3059744801490108,1.715866161003825,3.6377177635516964,1.7174934639028396,0.47709580003544233,0.5229041999645572,0.0,6.771223760005309e-16,0.0
3.0,0.4536486060753572,0.2927920408528322,1.742666958403348,3.7853879885010038,1.7775415495492808,0.40389070213669287,0.5961092978633074,0.0,3.9497027115125284e-17,0.0
4.0,0.44891268408594265,0.2880356888065691,1.7455408388389684,3.835537607858958,1.8003356739015646,0.36728815318731833,0.6327118468126817,0.0,3.121048258514414e-17,0.0
6.0,0.405249894992511,0.25916941222179757,1.7324206584624762,3.7844399482100615,1.7814829907807148,0.280097492763421,0.5971277743527991,0.0,0.12277473288378002,6.20039508857129e-17
