,mean,std,min,max
mcap,,,,
EP,,,,
FCP,,,,
ShYield,,,,
ROA,0.07458984316568115,0.0734900272617687,-0.0908497979817438,0.3522235906378823
ROE,,,,
GPA,0.27060397116451845,0.17920799578348617,0.0392632239540264,0.9194153815402876
AssetGrowth,0.07896000216183359,0.16207825961215372,-0.2455695274261359,0.9951456040739052
Accruals_est,,,,
Accruals_dolt,-0.023381060606060593,0.019775069510013715,-0.1762999999999999,0.02795
Accruals,-0.022937803030303017,0.01701683966666498,-0.084981,0.0125685
ret_1y,0.03682024328234615,0.3465326143227999,-0.7051955222195405,2.917954135430489
vol_1y,0.26855047912361774,0.11720697566929297,0.0551475780287525,0.7790993890203962
dd_1y,-0.1883526024500437,0.10946313770431157,-0.7236200147868276,0.0
ret_2y,0.46132236512525243,1.2252788872935148,-0.6794079687801627,15.866062496507684
vol_2y,0.2757169067271691,0.11937601774912758,0.1264888109594499,1.1774427638763911
dd_2y,-0.25727369940888656,0.13529373153510207,-0.8310066668757548,0.0
ret_5y,1.026765534598461,1.7399978577501292,-0.8369124070214402,16.990073809183343
vol_5y,0.30007316950809776,0.11180368616243865,0.1549003564607635,1.0696136694864855
dd_5y,-0.3955148532575164,0.16667704407547324,-0.9374058071259808,0.0
downside_dev,0.27636118811306803,0.08580775305932321,0.0814722097654534,0.7253497040963212
beta_spy,1.060987612831741,0.4626363042514846,0.1286355746570139,4.055629028527995
max_dd_monthly,-0.4583091853030045,0.16751654728111354,-0.9374058071259808,0.0
EP_z,,,,
FCP_z,,,,
ShYield_z,,,,
GPA_z,-1.2277196298230674e-16,1.0010816660814952,-1.2923027214132716,3.624353951574697
AssetGrowth_z,6.911894316732492e-18,1.00097418435182,-2.0042520320414305,5.6582427389296095
Accruals_z,1.7942998377780308e-18,1.001011634047265,-3.649676626019738,2.0886500144304807
Score,-1.1704676848761341e-16,1.6784866692791147,-8.52477572908756,5.76284992692816
