symbol,ttm_eps
A,4.319999999999999
AAPL,6.59
ABBV,2.09
ABNB,4.110000000000001
ABT,12.290000000000003
ACGL,9.530000000000001
ACN,12.149999999999999
ADBE,16.009999999999998
ADI,3.91
ADM,2.309999999999997
ADP,9.980000000000002
ADSK,4.82
AEE,4.55
AEP,6.830000000000001
AES,1.48
AFL,8.06
AIG,5.25
AIZ,15.120000000000001
AJG,6.610000000000001
AKAM,3.370000000000001
ALB,-9.32
ALGN,5.789999999999999
ALL,24.009999999999998
ALLE,7.390000000000002
AMAT,8.389999999999997
AMCR,0.31999999999999984
AMD,1.7500000000000004
AME,6.210000000000001
AMGN,12.239999999999995
AMP,32.13000000000001
AMT,7.1000000000000005
AMZN,6.559999999999999
ANET,4.300000000000001
AON,11.769999999999996
AOS,3.59
APA,4.570000000000002
APD,6.949999999999999
APH,2.5199999999999996
APO,6.489999999999998
APP,7.5
APTV,4.4499999999999975
ARE,-0.1299999999999999
ATO,7.240000000000002
AVB,7.52
AVGO,3.969999999999999
AVY,8.84
AWK,5.5500000000000025
AXON,4.879999999999999
AXP,14.899999999999999
AZO,147.59000000000003
BA,-16.550000000000004
BAC,3.330000000000002
BALL,2.270000000000003
BAX,-1.5500000000000003
BBY,3.629999999999999
BDX,4.850000000000001
BEN,0.49999999999999956
BG,12.719999999999999
BIIB,10.450000000000003
BK,6.5699999999999985
BKNG,143.44000000000003
BKR,3.0600000000000005
BLDR,6.59
BLK,41.11
BMY,2.4899999999999998
BR,7.099999999999996
BRO,3.4700000000000006
BSX,1.6800000000000004
BX,3.5999999999999996
BXP,-1.9699999999999998
C,6.580000000000002
CAG,1.7699999999999996
CAH,6.45
CARR,4.460000000000001
CAT,19.64
CB,23.259999999999998
CBOE,8.300000000000002
CBRE,4.050000000000001
CCI,-22.340000000000003
CCL,2.3099999999999996
CDNS,4.050000000000001
CDW,7.68
CEG,9.579999999999997
CF,7.630000000000003
CFG,3.29
CHD,2.12
CHRW,4.3999999999999995
CHTR,36.53
CI,20.58
CINF,8.910000000000004
CL,3.549999999999999
CLX,6.520000000000001
CMCSA,6.040000000000002
CME,10.229999999999997
CMG,1.1199999999999903
CMI,21.47
CMS,3.3899999999999997
CNC,4.109999999999999
CNP,1.5699999999999998
COF,1.9499999999999993
COIN,10.32
COO,2.039999999999999
COP,7.629999999999999
COR,6.259999999999998
COST,18.209999999999994
CPAY,14.239999999999998
CPB,2.01
CPRT,1.5900000000000003
CPT,1.4300000000000006
CRL,-1.2799999999999994
CRM,6.880000000000002
CRWD,-1.19
CSCO,2.55
CSGP,0.2400000000000002
CSX,1.54
CTAS,4.4999999999999964
CTRA,2.1500000000000004
CTSH,4.919999999999999
CTVA,2.0600000000000005
CVS,3.580000000000002
CVX,7.129999999999999
D,1.4099999999999993
DAL,7.100000000000003
DASH,1.8199999999999998
DAY,0.36
DD,-0.46999999999999886
DDOG,0.3600000000000001
DE,19.15
DECK,6.510000000000005
DELL,6.959999999999998
DG,5.399999999999999
DGX,8.31
DHI,12.449999999999996
DHR,4.859999999999999
DIS,6.390000000000001
DLR,4.24
DLTR,-13.509999999999998
DOC,0.25000000000000017
DOV,16.260000000000005
DOW,-1.4000000000000001
DPZ,17.919999999999998
DRI,9.309999999999999
DTE,6.950000000000001
DUK,6.09
DVA,10.159999999999998
DVN,4.140000000000001
DXCM,1.4300000000000002
EA,4.000000000000002
EBAY,4.550000000000001
ECL,6.550000000000001
ED,5.51
EFX,5.280000000000001
EG,-6.180000000000007
EIX,6.390000000000001
EL,-3.1500000000000004
ELV,24.53
EME,24.579999999999995
EMN,7.109999999999998
EMR,4.659999999999997
EOG,9.61
EPAM,6.440000000000001
EQIX,10.16
EQR,2.6500000000000004
EQT,2.9700000000000006
ERIE,11.809999999999999
ES,2.29
ESS,14.600000000000001
ETN,9.859999999999996
ETR,5.529999999999999
EVRG,1.959999999999999
EW,2.4700000000000006
EXC,2.63
EXE,-1.3400000000000003
EXPD,6.170000000000002
EXPE,8.059999999999999
EXR,4.92
F,0.7800000000000007
FANG,14.009999999999998
FAST,1.5199999999999991
FCX,1.3300000000000005
FDS,15.549999999999997
FDX,17.060000000000002
FE,1.9800000000000004
FFIV,11.34
FI,6.640000000000002
FICO,25.569999999999997
FIS,0.1699999999999946
FITB,3.290000000000002
FOX,4.91
FOXA,4.91
FRT,3.9400000000000004
FSLR,12.45
FTNT,2.49
FTV,2.1899999999999995
GD,14.89
GDDY,5.600000000000003
GE,7.489999999999998
GEHC,4.890000000000001
GEN,0.9600000000000004
GEV,5.690000000000001
GILD,5.460000000000001
GIS,5.290000000000001
GL,12.059999999999999
GLW,0.9399999999999998
GM,5.190000000000001
GNRC,6.01
GOOG,9.379999999999999
GOOGL,9.379999999999999
GPC,5.149999999999999
GPN,5.700000000000001
GRMN,8.279999999999998
GS,48.910000000000004
GWW,39.40999999999999
HAL,2.1400000000000006
HAS,-5.9
HBAN,1.3399999999999999
HCA,23.82
HD,14.71
HIG,11.349999999999998
HII,13.36
HLT,6.900000000000002
HOLX,2.3099999999999996
HON,9.489999999999998
HOOD,1.96
HPE,0.8500000000000001
HPQ,2.7399999999999993
HRL,1.38
HSIC,3.08
HST,0.9699999999999998
HSY,7.5500000000000025
HUBB,15.41
HUM,13.059999999999999
HWM,3.4099999999999997
IBKR,5.000000000000002
IBM,9.649999999999999
ICE,5.210000000000001
IDXX,11.830000000000002
IEX,6.1800000000000015
IFF,-1.9400000000000013
INCY,4.279999999999999
INTC,-4.7700000000000005
INTU,13.670000000000002
INVH,0.98
IP,-0.94
IPG,1.1799999999999997
IQV,6.899999999999999
IR,1.2800000000000002
IRM,0.1399999999999999
ISRG,7.5699999999999985
IT,16.220000000000002
ITW,11.400000000000002
IVZ,1.27
J,4.950000000000001
JBHT,5.539999999999997
JBL,5.919999999999998
JCI,3.3499999999999996
JKHY,6.110000000000001
JNJ,10.36
K,3.8199999999999994
KDP,0.56
KEY,0.08000000000000007
KEYS,3.1500000000000004
KHC,-4.17
KIM,0.8499999999999999
KKR,2.639999999999999
KLAC,30.36999999999999
KMB,7.26
KMI,1.2199999999999998
KO,3.01
KR,4.000000000000001
KVUE,0.7099999999999997
L,6.3100000000000005
LDOS,10.559999999999999
LEN,10.090000000000003
LH,8.8
LHX,8.95
LII,23.689999999999998
LIN,14.459999999999994
LKQ,2.740000000000001
LLY,15.299999999999997
LMT,17.959999999999994
LNT,2.67
LOW,12.189999999999998
LRCX,10.900000000000006
LULU,17.920000000000005
LUV,0.6900000000000002
LVS,1.9700000000000002
LW,2.08
LYB,-2.84
LYV,1.2500000000000004
MA,14.829999999999998
MAA,4.869999999999999
MAR,8.880000000000003
MAS,3.769999999999998
MCD,11.34
MCHP,-0.7699999999999996
MCK,24.970000000000006
MCO,12.430000000000003
MDLZ,2.7299999999999986
MDT,3.62
MET,5.809999999999999
META,27.56
MGM,1.8199999999999994
MHK,7.529999999999999
MKC,2.880000000000001
MLM,17.069999999999993
MMC,8.33
MMM,6.26
MNST,1.5100000000000007
MO,5.6
MOH,16.14
MOS,3.1000000000000005
MPC,6.319999999999993
MPWR,64.97000000000001
MRK,6.75
MRNA,-10.469999999999999
MS,9.190000000000001
MSCI,15.090000000000003
MSFT,13.64
