Date,SPY,MCK,AVGO,PWR,HYG
2015-09-01,161.0924835205078,171.0741729736328,9.515484809875488,23.75359535217285,48.40739822387695
2015-10-01,175.7037353515625,165.31405639648438,9.401768684387207,19.730892181396484,49.954368591308594
2015-11-01,176.3459014892578,175.06832885742188,9.960699081420898,21.63431167602539,48.71601486206055
2015-12-01,172.2729949951172,182.6237335205078,11.083137512207031,19.868247985839844,47.48581314086914
2016-01-01,164.6702117919922,149.05825805664062,10.241070747375488,18.347469329833984,47.198421478271484
2016-02-01,164.5343017578125,144.09518432617188,10.260984420776367,19.90749168395996,47.66868591308594
2016-03-01,174.7007598876953,145.86737060546875,11.833412170410156,22.134700775146484,48.86805725097656
2016-04-01,176.29393005371094,155.6722869873047,11.2001953125,23.272830963134766,50.424015045166016
2016-05-01,179.29298400878906,169.88328552246094,11.861836433410645,23.57699203491211,50.5140495300293
2016-06-01,178.98538208007812,173.1392822265625,11.941753387451172,22.684144973754883,51.406761169433594
2016-07-01,186.4779052734375,180.75057983398438,12.48666763305664,25.117389678955078,52.088138580322266
2016-08-01,186.70127868652344,171.51605224609375,13.599813461303711,25.244935989379883,53.123878479003906
2016-09-01,185.77362060546875,155.15066528320312,13.299172401428223,27.462329864501953,53.707820892333984
2016-10-01,183.4750213623047,118.32389831542969,13.166083335876465,28.2080020904541,53.172149658203125
2016-11-01,190.2339630126953,133.80638122558594,13.182320594787598,33.08430862426758,53.178672790527344
2016-12-01,192.95306396484375,130.936279296875,13.667887687683105,34.193016052246094,53.97968292236328
2017-01-01,197.56353759765625,129.7243194580078,15.513564109802246,35.213401794433594,54.8972053527832
2017-02-01,205.3260955810547,139.9605712890625,16.402385711669922,36.6164436340332,55.49433135986328
2017-03-01,204.69224548339844,138.47427368164062,17.026819229125977,36.410404205322266,55.416168212890625
2017-04-01,207.62339782714844,129.16233825683594,17.248546600341797,34.77189254760742,55.873802185058594
2017-05-01,210.5535888671875,152.32542419433594,18.706953048706055,30.08200454711914,56.449729919433594
2017-06-01,210.86753845214844,153.67971801757812,18.20467758178711,32.29939651489258,56.52471923828125
2017-07-01,216.25119018554688,151.4459991455078,19.349868774414062,33.094120025634766,57.10007858276367
2017-08-01,216.88217163085938,139.69482421875,19.774269104003906,35.25264358520508,57.14470291137695
2017-09-01,220.15965270996094,144.05064392089844,19.02666664123535,36.66551208496094,57.485870361328125
2017-10-01,226.46585083007812,129.29953002929688,20.7877197265625,37.018714904785156,57.53831481933594
2017-11-01,233.38795471191406,138.54591369628906,21.89283561706543,37.185516357421875,57.325279235839844
2017-12-01,235.0171661376953,146.5814666748047,20.235551834106445,38.37270736694336,57.22245407104492
2018-01-01,249.53147888183594,158.73471069335938,19.666393280029297,37.76439666748047,57.73133087158203
2018-02-01,240.4584503173828,140.26519775390625,19.541908264160156,33.790740966796875,56.99067306518555
2018-03-01,232.9344024658203,132.7009735107422,18.684782028198242,33.70242691040039,56.87201690673828
2018-04-01,235.0760498046875,147.15139770507812,18.457347869873047,31.887310028076172,57.13794708251953
2018-05-01,240.79051208496094,133.7089080810547,20.279590606689453,35.33113479614258,57.157508850097656
2018-06-01,241.09271240234375,125.9606704711914,19.52092742919922,32.77035140991211,57.198974609375
2018-07-01,251.14710998535156,118.59564208984375,18.08115005493164,33.42771530151367,58.159751892089844
2018-08-01,259.1635437011719,121.57001495361328,17.857759475708008,33.93790817260742,58.58415985107422
2018-09-01,259.5295715332031,125.62947082519531,20.116165161132812,32.75072479248047,58.88935852050781
2018-10-01,242.68870544433594,118.15702819824219,18.358196258544922,30.611818313598633,57.713462829589844
2018-11-01,247.19033813476562,117.9107894897461,19.50162124633789,34.43830108642578,57.458885192871094
2018-12-01,224.11685180664062,104.9455795288086,20.887380599975586,29.532556533813477,56.01618957519531
2019-01-01,243.4744873046875,121.83642578125,22.267114639282227,34.720027923583984,59.33232498168945
2019-02-01,251.36680603027344,120.80094146728516,22.857309341430664,35.014774322509766,59.778438568115234
2019-03-01,254.79457092285156,111.54743957519531,24.961585998535156,37.077938079833984,60.55716323852539
2019-04-01,266.3716125488281,113.63431549072266,26.66610336303711,39.887752532958984,61.1588020324707
2019-05-01,249.384765625,116.38822937011719,21.074934005737305,34.18549728393555,59.98664093017578
2019-06-01,265.44744873046875,128.46588134765625,24.108366012573242,37.55881118774414,61.857994079589844
2019-07-01,270.7715148925781,132.82481384277344,24.51960563659668,36.84031677246094,61.96234130859375
2019-08-01,266.23785400390625,132.17486572265625,23.89813804626465,33.37484359741211,62.40256118774414
2019-09-01,270.170654296875,131.02523803710938,23.342620849609375,37.21443557739258,62.67432403564453
2019-10-01,277.41790771484375,127.51612854003906,24.98927879333496,41.44248962402344,62.68229293823242
2019-11-01,287.4599609375,138.67616271972656,26.982616424560547,41.03840637207031,63.02927780151367
2019-12-01,294.364990234375,132.98948669433594,26.966405868530273,40.121849060058594,64.02047729492188
2020-01-01,295.6927185058594,137.11419677734375,26.303470611572266,38.63163375854492,64.201416015625
