gamma,ER,Vol,Sharpe,Sortino,AdjSharpe,w_LLY,w_PWR,w_CDNS,w_ORLY,w_AJG,w_COST,w_NVDA,w_AAPL,w_NFLX,w_GOOG,w_META,w_AMZN,w_MSFT,w_TSLA,w_JPM,w_GOOGL,w_WMT,w_V,w_XOM,w_ORCL,w_PLTR,w_JNJ,w_AMD,w_BAC,w_PG,w_KO,w_CSCO,w_MU,w_TSM,w_CRM,w_TMUS,w_MS,w_IBM,w_AXP,w_ANET,w_RSG,w_MSI,w_GWW,w_PGR,w_MCK,w_WM,w_APH,w_AVGO,w_HUBB,w_SPY,w_HYG
2.0,0.45670008947944873,0.27081613334583426,1.8735223029516415,3.87284148232425,1.6612164941358885,0.2711658312956161,0.03872744549467291,0.0,3.1244586952407995e-16,1.854622047478092e-16,1.4409057918039214e-16,0.3041918959001995,7.805223784247849e-17,1.83877888559379e-17,1.217637052762272e-16,0.0,2.3398875760563557e-18,0.0,0.0,0.0,0.0,0.0,1.5923406708962653e-16,0.0,0.0,7.972178150596608e-17,1.9101683649215947e-16,1.7682404009031633e-16,0.0,0.0,6.216939601002678e-17,0.0,0.0,5.627530926405144e-17,0.0,0.0,0.0,1.6334477707654278e-17,0.0,1.7795156993448942e-16,7.916613900577377e-17,9.44063086201282e-17,9.028945405411151e-17,0.0,0.03762037447052252,0.0,0.0,0.348294452838989,0.0,0.0,0.0
3.0,0.4239422707401566,0.21457677544103873,2.1518415416235883,4.9022848128851875,1.9535713281963736,0.24674717528457238,0.09622348646661133,4.3128742671985115e-17,2.9648567826483994e-16,0.0,5.936201169724703e-17,0.1843469253044868,1.3095787168839488e-16,6.522875916173483e-17,0.0,0.0,9.782181391445437e-17,5.790780174531651e-17,0.0,0.0,6.057808191064247e-16,0.0,0.0,1.2329478292563735e-16,8.828529743944392e-17,0.0,0.0,0.0,9.356608250035849e-17,0.0,0.0,0.0,4.49760752219104e-17,1.044734704917165e-16,0.0,0.0,1.6428441944951168e-16,0.0,0.0,0.0,2.2283372499225842e-17,0.0,0.0,1.9802342733221617e-17,0.18047723456586862,0.0,5.461944536572064e-17,0.2922051783784605,1.9971304335248566e-17,0.0,0.0
4.0,0.4059922061792697,0.18886904592506243,2.313554031757846,5.776857808944274,2.269994356954677,0.22994693314882755,0.11837708241259877,0.0,1.788431458861206e-16,0.0,7.884036000078277e-17,0.12428972279137684,2.8186278264811347e-17,0.0,1.9046907186739222e-17,0.0,0.0,0.0,0.0,0.0,0.0,6.250208975595398e-17,0.0,0.020247907867614306,0.0,1.380860080710933e-16,0.0,1.8793509255529602e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.635679749025109e-17,1.8757111455601383e-17,2.4247127511020146e-17,0.0,0.0,7.403317232660134e-17,0.2411064704316746,3.95378726320252e-17,4.8973837029672904e-17,0.26603188334790845,4.9260444968876046e-17,1.1978187968129855e-16,5.2953350519137816e-17
6.0,0.3831317447103527,0.16169822102354625,2.515571616112442,7.295306260420789,2.785464792912593,0.19880035124994863,0.1199206472286372,0.0,4.142052615794986e-17,0.0,5.247327884843782e-17,0.06381250571138172,1.525945901854138e-17,0.0,0.0,0.0,0.0,1.3381447847795268e-17,0.0,0.0,9.216134086222354e-17,1.1540639275092016e-16,0.0,0.10377687028107054,6.06657615276017e-17,4.4736524779923114e-17,5.002606579436299e-17,1.7232023233237654e-16,0.0,0.0,6.275604935685082e-17,2.6373104100403663e-17,0.0,6.856368816569854e-18,0.0,1.2591004950345683e-16,0.0,1.4274031992812774e-17,6.473346799622584e-17,6.948391966460375e-16,4.045862819177877e-17,0.0,4.62209110685239e-17,2.4035500734594228e-17,0.26798509532232895,1.3397497207580713e-17,0.0,0.24570453020663255,0.0,1.0606899279689159e-16,0.0
