gamma,ER,Vol,Sharpe,Sortino,AdjSharpe,w_MCK,w_AVGO,w_PWR,w_SPY,w_HYG
2.0,0.406112964667122,0.23505150629106367,1.7821791779558824,4.459515607298658,1.9213768741096922,0.2420253348913522,0.6117838622425797,0.14619080286606795,5.669092745023303e-17,1.5420730512154228e-17
3.0,0.38845394084870666,0.2013289847608497,1.9845016729309117,5.340872043724235,2.2384438578481274,0.36233048725054456,0.4766123210969892,0.16105719165246646,5.8489573321996976e-18,0.0
4.0,0.3796244152611211,0.18810317190066295,2.07364531050248,5.845119149195271,2.396430028107873,0.42248307152338893,0.4090263885735285,0.16849053990308266,0.0,7.694306783555066e-17
6.0,0.3707948917452617,0.17805570817573435,2.137347030932787,6.310301668769004,2.5089307002798615,0.4826355984069369,0.34144044279330504,0.17592395879975817,0.0,8.370742595852852e-18
