ticker,sigma_daily,z_threshold_sigma,xi,beta,tail_freq,n_obs
COIN,0.05425609935509303,1.75,0.31681743400654144,0.46398291292335087,0.06085526315789474,1154
AMD,0.0325362247323156,1.75,-0.046290083471667715,0.6029862609297393,0.08121019108280254,1255
LLY,0.020127190219589936,1.75,0.5596854756164046,0.4109855480406631,0.06607142857142857,1255
