gamma,ER,Vol,Sharpe,w_NVDA,w_AAPL,w_MSFT,w_SPY,w_HYG
2.0,0.5398854310734844,0.49012748585802746,1.101520413874259,1.0,1.7538980991496007e-16,0.0,0.0,0.0
3.0,0.4043519301904369,0.36271231666703563,1.114800660495976,0.656271349382718,0.07825938383193792,0.0,0.265469266785344,5.5071859690206674e-18
4.0,0.3185975233129682,0.28555641552403677,1.1157078111107968,0.4435885798142635,0.0537319768941759,0.007155068793607444,0.4955243744979532,0.0
6.0,0.22458386120792656,0.2070114229871474,1.0848863215720719,0.24394769048500944,0.029972338807563746,0.05410659586320775,0.5192639947987719,0.1527093800454471
