feature,mean_abs_shap
max_dd_monthly,0.05867872194246476
beta_spy,0.028377044953638995
GPA_z,0.02127858027299351
downside_dev,0.019433576825473056
AssetGrowth_z,0.016190592913045795
EP_z,0.007615527216969887
Accruals_z,0.0036390999870430122
FCP_z,0.0
ShYield_z,0.0
