ticker,n_obs,realized_vol_annual,downside_dev_annual,max_drawdown_5y,parkinson_vol_annual,var_95_1d,var_99_1d
APA,1255,0.510850907012662,0.5189762413365846,-0.7047431965196744,0.428282300201363,-0.04720324854419393,-0.08333174768497663
BAX,1255,0.3177182951609257,0.3715694896750201,-0.7823533489443306,0.251485569194533,-0.028174639358096634,-0.06916600003151571
CCL,1255,0.5570148217156706,0.5568448971858834,-0.7962312288960338,0.46281459253490637,-0.05545788683911213,-0.09606488298772879
COIN,1154,0.861288876011929,0.8220622492465481,-0.9089789936876204,0.7231132845179923,-0.08273528877108635,-0.1290664835540749
DVN,1255,0.43961947905334864,0.4378105306327274,-0.6082563871460946,0.36974447349296236,-0.041487706888909605,-0.07579466842618209
FI,1255,0.3869176986039666,0.5094399832603435,-0.7408217216527029,0.23243401081614307,-0.02499855917740339,-0.05368974543739093
HAL,1255,0.41855919192400043,0.42091560007102496,-0.5401058779444949,0.35616307936529695,-0.04188940303448194,-0.066575759013348
HOOD,1080,0.727073630971881,0.7094668419163319,-0.9021167789994492,0.6149330867169194,-0.06668478721994267,-0.11110263184019435
IVZ,1255,0.3683723469603399,0.3694716460087226,-0.534435890976732,0.3041634134602734,-0.034033099009808006,-0.06574862326051777
MRNA,1255,0.6790367445043746,0.6664492306206584,-0.9514727430601596,0.5899155225618525,-0.06840225788713065,-0.10707171379786393
NCLH,1255,0.5777920168190034,0.586437173374102,-0.6920794898739079,0.4752351959837967,-0.054179218581705116,-0.10937051370666713
OXY,1255,0.4387178641621119,0.40623162249616684,-0.5077284097564463,0.37014751302790544,-0.04064341834472792,-0.07538237111403541
PCG,1255,0.2892269818681296,0.3058814913745854,-0.39627037713950486,0.26683795311759734,-0.0286152581715218,-0.0526252187385281
PSKY,1255,0.5691577991033256,0.5908956223576987,-0.8951478676878437,0.4730940609458152,-0.04812014652660406,-0.08481141324492589
PYPL,1255,0.42453012813345575,0.46693030100824345,-0.8366771478008066,0.32237799777242054,-0.041350817571296904,-0.06492187659670709
SLB,1255,0.38564919840759204,0.38739748887918807,-0.4663097217481309,0.32704408537349855,-0.03999409109810025,-0.06271634178800199
TRGP,1255,0.3401383656673084,0.3556279635657494,-0.31611596298255684,0.3045826899270667,-0.03211374173736726,-0.055767120695778404
VTRS,1255,0.34588148949265557,0.3708804097349318,-0.5432943923163045,0.29860635766278526,-0.028547707594674523,-0.04961606150260902
WBD,1255,0.5661481918589207,0.5874412503576552,-0.9131616367327864,0.49744604114400576,-0.05045072229582998,-0.09361205226723737
XYZ,1255,0.6050995536921543,0.6218870166773371,-0.8608282120560732,0.48352611525763056,-0.06175528502814189,-0.09331418864560183
